Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating,Extended_Platform_Name
Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.15,74.0,50.0,5.3,539.0,M,PC
The Walking Dead: Season One,PSV,2013,Adventure,Square Enix,0.1,0.0,0.01,0.03,0.15,,,,,,Play Station Vita
Baseball Blast!,Wii,2009,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,,,,,,Nintendo Wii
Super Monkey Ball Deluxe,X,2005,Misc,Sega,0.11,0.03,0.0,0.01,0.15,81.0,25.0,8.2,9.0,E,Xbox
Shin Megami Tensei: Devil Summoner - Soul Hackers,PS,1999,Role-Playing,Atlus,0.0,0.0,0.14,0.01,0.15,,,,,,Play Station
The Cursed Crusade,X360,2011,Action,DTP Entertainment,0.08,0.05,0.0,0.01,0.15,39.0,27.0,4.4,29.0,M,Xbox 360
Shin Chan: \xc2\xa1Aventuras de Cine!,DS,2008,Platform,505 Games,0.0,0.0,0.15,0.0,0.15,,,,,,Nintendo DS
Jurassic: The Hunted,Wii,2009,Shooter,Activision,0.14,0.0,0.0,0.01,0.15,,,,,T,Nintendo Wii
Charm Girls Club: Pajama Party,Wii,2009,Misc,Electronic Arts,0.14,0.0,0.0,0.01,0.15,,,,,E,Nintendo Wii
SpongeBos Boating Bash,DS,2010,Misc,THQ,0.13,0.0,0.0,0.01,0.15,,,,,E,Nintendo DS
Active Life Explorer,Wii,2010,Sports,Namco Bandai Games,0.14,0.0,0.0,0.01,0.15,,,,,E,Nintendo Wii
White Knight Chronicles: Origins,PSP,2011,Role-Playing,Sony Computer Entertainment,0.0,0.04,0.09,0.02,0.15,,,,,,Play Station Portable
Tamagotchi Collection,DS,2011,Misc,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,Nintendo DS
Jewel Quest Solitaire,DS,2009,Puzzle,GSP,0.0,0.13,0.0,0.02,0.15,,,,,,Nintendo DS
Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0.0,0.0,0.15,0.0,0.15,,,,,,Nintendo 3DS
Rayman Origins,3DS,2012,Platform,Ubisoft,0.06,0.08,0.0,0.01,0.15,71.0,8.0,6.2,66.0,E10+,Nintendo 3DS
Barbie Superpack: Secret Agent / Groovy Games,GBA,2005,Misc,Vivendi Games,0.1,0.04,0.0,0.0,0.15,,,,,,Game Boy Advance
Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,,Play Station
Tom Clancys Ghost Recon,GC,2003,Shooter,Ubisoft,0.11,0.03,0.0,0.0,0.15,59.0,15.0,5.4,17.0,M,GameCube
Pac-Man Party 3D,3DS,2011,Misc,Namco Bandai Games,0.09,0.04,0.0,0.01,0.15,43.0,11.0,5.4,11.0,E,Nintendo 3DS
Dance Dance Revolution (North America),PS,2001,Simulation,Konami Digital Entertainment,0.08,0.06,0.0,0.01,0.15,,,,,,Play Station
Darkstalkers Chronicle: The Chaos Tower,PSP,2004,Fighting,Capcom,0.13,0.0,0.0,0.01,0.15,74.0,27.0,7.9,25.0,T,Play Station Portable
Terraria,PC,2011,Action,506 Games,0.0,0.13,0.0,0.01,0.15,83.0,29.0,8.5,1625.0,T,PC
Ben 10 Galactic Racing,3DS,2011,Racing,D3Publisher,0.07,0.07,0.0,0.01,0.15,,,,,E,Nintendo 3DS
Bakugan Battle Brawlers: Defenders of the Core,X360,2010,Action,Activision,0.11,0.02,0.0,0.01,0.15,62.0,10.0,,,E10+,Xbox 360
Mad Dash Racing,X,2001,Racing,Eidos Interactive,0.11,0.03,0.0,0.01,0.15,65.0,21.0,7.7,6.0,T,Xbox
WWE 13,Wii,2012,Action,THQ,0.11,0.02,0.0,0.01,0.15,74.0,4.0,6.0,9.0,T,Nintendo Wii
Summon Night 5,PSP,2013,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,74.0,7.0,8.3,6.0,T,Play Station Portable
MotoGP 2: Ultimate Racing Technology,PS2,2001,Racing,Sony Computer Entertainment,0.07,0.06,0.0,0.02,0.15,,,,,,Play Station 2
Black Rock Shooter: The Game,PSP,2011,Role-Playing,NIS America,0.0,0.0,0.15,0.0,0.15,66.0,19.0,7.2,39.0,T,Play Station Portable
BMX XXX,PS2,2002,Sports,Acclaim Entertainment,0.07,0.06,0.0,0.02,0.15,54.0,14.0,4.4,18.0,M,Play Station 2
Dragon Ball Z: Idainaru Dragon Ball Densetsu,SAT,1995,Fighting,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,Sega Saturn
Sonic Advance & Sonic Pinball Party Combo Pack,GBA,2005,Misc,Sega,0.1,0.04,0.0,0.0,0.15,,,,,,Game Boy Advance
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.15,83.0,31.0,9.6,16.0,E,Game Boy Advance
Making History: The Great War,Wii,2010,Strategy,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,Nintendo Wii
Guilty Gear X2 #Reload,X,2004,Fighting,Zoo Digital Publishing,0.11,0.03,0.0,0.01,0.15,86.0,34.0,7.6,12.0,T,Xbox
Wizardry VII: Gadeia no Houshu,PS,1995,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.14,0.01,0.15,,,,,,Play Station
F1 2012,PC,2012,Racing,Codemasters,0.01,0.11,0.0,0.02,0.15,80.0,15.0,6.9,115.0,E,PC
NBA Ballers: Chosen One,PS3,2008,Sports,Midway Games,0.13,0.0,0.0,0.02,0.15,54.0,23.0,6.5,4.0,E,Play Station 3
Elf: The Movie,GBA,2004,Action,Crave Entertainment,0.1,0.04,0.0,0.0,0.15,,,,,E,Game Boy Advance
MLB SlugFest 20-03,GC,2002,Sports,Midway Games,0.11,0.03,0.0,0.0,0.15,80.0,10.0,7.5,4.0,E,GameCube
Tiger Woods PGA Tour,DS,2004,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.14,64.0,21.0,7.4,7.0,E,Nintendo DS
Tamagotchi no Appare! Niji Venture,DS,2007,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo DS
Ultimate Board Game Collection,Wii,2007,Misc,Xplosiv,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo Wii
Grabbed by the Ghoulies,X,2003,Action,Microsoft Game Studios,0.11,0.03,0.0,0.01,0.14,66.0,42.0,7.3,29.0,E,Xbox
Cars: Mater-National Championship,X360,2007,Racing,THQ,0.13,0.0,0.0,0.01,0.14,58.0,9.0,7.8,6.0,E,Xbox 360
Rayman Raving Rabbids,DS,2007,Misc,Ubisoft,0.13,0.01,0.0,0.01,0.14,56.0,13.0,6.1,8.0,E,Nintendo DS
Shadow Hearts: From The New World,PS2,2005,Role-Playing,Ghostlight,0.07,0.06,0.0,0.02,0.14,76.0,42.0,8.1,34.0,T,Play Station 2
CSI: 3 Dimensions of Murder,PS2,2007,Adventure,Ubisoft,0.07,0.06,0.0,0.02,0.14,,,,,M,Play Station 2
Barbarian,PS2,2002,Fighting,Titus,0.07,0.06,0.0,0.02,0.14,63.0,22.0,,,T,Play Station 2
Rubiks World,Wii,2008,Puzzle,Game Factory,0.12,0.01,0.0,0.01,0.14,64.0,9.0,,,E,Nintendo Wii
Tennis no Oji-Sama: Aim at The Victory!,GBA,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,Game Boy Advance
L.A. Rush,X,2005,Racing,Midway Games,0.11,0.03,0.0,0.01,0.14,59.0,36.0,3.0,4.0,T,Xbox
Record of Agarest War 2,PS3,2010,Role-Playing,Compile Heart,0.09,0.0,0.04,0.01,0.14,56.0,6.0,7.2,36.0,T,Play Station 3
QuickSpot,DS,2006,Misc,Namco Bandai Games,0.01,0.0,0.13,0.0,0.14,68.0,18.0,,,E10+,Nintendo DS
"Lunar 2: Eternal Blue(sales, but wrong system)",GEN,1994,Role-Playing,Game Arts,0.0,0.0,0.14,0.0,0.14,,,,,,Sega Genesis
Pipe Dreams 3D,PS,2001,Puzzle,Empire Interactive,0.08,0.05,0.0,0.01,0.14,,,,,E,Play Station
Spider-Man: Friend or Foe,Wii,2007,Action,Activision,0.13,0.0,0.0,0.01,0.14,59.0,29.0,8.0,6.0,E10+,Nintendo Wii
Fox Sports Golf 99,PS,1997,Sports,Gremlin Interactive Ltd,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
Power Rangers: Super Legends,PS2,2007,Action,Disney Interactive Studios,0.07,0.06,0.0,0.02,0.14,,,3.0,5.0,E10+,Play Station 2
Jurassic: The Hunted,PS2,2009,Shooter,Activision,0.07,0.06,0.0,0.02,0.14,,,,,T,Play Station 2
Sakura Wars G,G,2000,Adventure,Media Factory,0.0,0.0,0.14,0.0,0.14,,,,,,Game Boy
Shining Force CD,SCD,1994,Strategy,Sega,0.0,0.0,0.14,0.0,0.14,,,,,,Sega CD
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.04,0.08,0.0,0.02,0.14,81.0,10.0,8.5,78.0,T,Play Station 4
Rayman 3,GBA,2003,Platform,Ubisoft,0.1,0.04,0.0,0.0,0.14,83.0,21.0,7.8,8.0,E,Game Boy Advance
Fatal Frame,PS2,2001,Action,Wanadoo,0.07,0.06,0.0,0.02,0.14,74.0,22.0,8.9,73.0,T,Play Station 2
The Fifth Element,PS,1998,Action,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
Cave Story 3D,3DS,2011,Platform,Nippon Ichi Software,0.09,0.03,0.01,0.01,0.14,82.0,29.0,7.7,72.0,E10+,Nintendo 3DS
Okaeri! Chibi-Robo! Happy Richie Oosouji,DS,2009,Adventure,Nintendo,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo DS
Wild ARMs 4,PS2,2005,Role-Playing,505 Games,0.07,0.06,0.0,0.02,0.14,69.0,38.0,6.9,18.0,T,Play Station 2
Syndicate,PS3,2012,Shooter,EA Games,0.07,0.06,0.0,0.02,0.14,75.0,29.0,6.5,106.0,M,Play Station 3
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.04,0.09,0.0,0.01,0.14,,,,,,Xbox One
Ratatouille,GC,2007,Action,THQ,0.11,0.03,0.0,0.0,0.14,60.0,7.0,5.6,7.0,E,GameCube
G.I. Joe: The Rise of Cobra,PS2,2009,Action,Electronic Arts,0.11,0.0,0.0,0.03,0.14,50.0,4.0,2.3,6.0,T,Play Station 2
Casper: Spirit Dimensions,PS2,2001,Platform,TDK Mediactive,0.07,0.05,0.0,0.02,0.14,58.0,7.0,3.5,6.0,E,Play Station 2
Super Robot Taisen OG Saga: Endless Frontier (JP sales),DS,2008,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo DS
Sengoku Musou 3 Empires,PS3,2011,Action,Tecmo Koei,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station 3
Transformers: Devastation,XOne,2015,Action,Activision,0.09,0.04,0.0,0.01,0.14,75.0,25.0,7.9,56.0,T,Xbox One
Thunder Truck Rally,PS,1997,Racing,Psygnosis,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
Heroes of Mana,DS,2007,Strategy,Square Enix,0.07,0.01,0.05,0.01,0.14,66.0,32.0,,,E10+,Nintendo DS
SafeCracker: The Ultimate Puzzle Adventure,DS,2009,Puzzle,The Adventure Company,0.07,0.06,0.0,0.01,0.14,43.0,4.0,,,E,Nintendo DS
Klonoa: Empire of Dreams,GBA,2001,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,,,,,,Game Boy Advance
Geometry Wars: Galaxies,DS,2007,Shooter,Vivendi Games,0.13,0.0,0.0,0.01,0.14,79.0,36.0,7.9,26.0,E,Nintendo DS
Disney's Planes,Wii,2013,Simulation,Disney Interactive Studios,0.07,0.07,0.0,0.01,0.14,,,,,E,Nintendo Wii
Adrenalin Misfits,X360,2010,Racing,Konami Digital Entertainment,0.12,0.02,0.0,0.01,0.14,50.0,32.0,,,E,Xbox 360
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1603.0,M,PC
Mega Man Powered Up,PSP,2006,Platform,Capcom,0.12,0.01,0.0,0.02,0.14,82.0,28.0,7.5,36.0,E,Play Station Portable
Iron & Blood,PS,1996,Fighting,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
Balloon Pop,DS,2009,Puzzle,UFO Interactive,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
G.I. Joe: The Rise of Cobra,PSP,2009,Action,Electronic Arts,0.11,0.02,0.0,0.02,0.14,,,,,T,Play Station Portable
Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station 3
Class of Heroes,PSP,2008,Role-Playing,Acquire,0.06,0.0,0.08,0.01,0.14,61.0,12.0,7.1,12.0,T,Play Station Portable
Second Sight,PS2,2004,Adventure,Codemasters,0.07,0.05,0.0,0.02,0.14,76.0,48.0,8.0,23.0,T,Play Station 2
Monster House,PS2,2006,Adventure,THQ,0.07,0.05,0.0,0.02,0.14,59.0,27.0,,,E10+,Play Station 2
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,0.07,0.05,0.0,0.02,0.14,81.0,40.0,7.9,22.0,T,Play Station 2
Thor: God of Thunder,X360,2011,Action,Sega,0.09,0.04,0.0,0.01,0.14,38.0,40.0,5.7,22.0,T,Xbox 360
Kenka Banchou 5: Otoko no Housoku,PSP,2011,Action,Spike,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station Portable
Championship Motocross 2001 featuring Ricky Carmichael,PS,2001,Racing,THQ,0.08,0.05,0.0,0.01,0.14,70.0,8.0,,,T,Play Station
Bejeweled 3,PS3,2010,Puzzle,PopCap Games,0.13,0.0,0.0,0.02,0.14,76.0,5.0,8.2,5.0,E,Play Station 3
Doshin the Giant,GC,2002,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14,,,,,,GameCube
Shrek 2 and Shark Tale 2-in-1 Pack,GBA,2005,Misc,Activision,0.1,0.04,0.0,0.0,0.14,,,,,,Game Boy Advance
Star Ocean: Blue Sphere,G,2001,Role-Playing,Enix Corporation,0.0,0.0,0.14,0.0,0.14,,,,,,Game Boy
Mojo!,PS2,2003,Puzzle,Mindscape,0.07,0.05,0.0,0.02,0.14,,,,,,Play Station 2
Front Mission Alternative,PS,1997,Strategy,SquareSoft,0.0,0.0,0.13,0.01,0.14,,,,,,Play Station
Kamen Rider Ryuki,PS,2002,Action,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,,,,,,Play Station
Harvest Moon: Hero of Leaf Valley,PSP,2009,Simulation,Rising Star Games,0.07,0.02,0.05,0.01,0.14,74.0,6.0,7.9,12.0,E,Play Station Portable
World Championship Poker: Howard Lederer - All In,PSP,2006,Misc,505 Games,0.13,0.0,0.0,0.01,0.14,,,,,,Play Station Portable
FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0.0,0.0,0.14,78.0,22.0,8.5,6.0,E,GameCube
Diner Dash: Flo on the Go,DS,2009,Puzzle,Zoo Games,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
DiRT Rally,XOne,2016,Racing,Codemasters,0.05,0.08,0.0,0.01,0.14,86.0,17.0,8.1,61.0,E,Xbox One
Hexyz Force,PSP,2009,Role-Playing,Atlus,0.07,0.0,0.06,0.01,0.14,68.0,13.0,7.3,21.0,T,Play Station Portable
Nicktoons: ML,X360,2011,Sports,Take-Two Interactive,0.13,0.0,0.0,0.01,0.14,,,7.6,7.0,E,Xbox 360
Power Stone,DC,1998,Fighting,Eidos Interactive,0.0,0.0,0.14,0.0,0.14,,,,,,Sega Dreamcast
Jonny Moseley Mad Trix,PS2,2001,Sports,3DO,0.07,0.05,0.0,0.02,0.14,44.0,14.0,5.7,6.0,T,Play Station 2
Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station Portable
Senran Kagura Burst: Guren no Sh?jo-tachi,3DS,2012,Action,Marvelous Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo 3DS
MTV Music Generator 3: This Is the Remix,PS2,2004,Misc,Codemasters,0.07,0.05,0.0,0.02,0.14,79.0,28.0,8.6,8.0,T,Play Station 2
DmC: Devil May Cry,XOne,2015,Action,Capcom,0.09,0.04,0.0,0.01,0.14,,,,,,Xbox One
Cake Mania 3,DS,2009,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0.0,0.01,0.13,0.0,0.14,,,,,,Nintendo DS
.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station Portable
Terminator 3: Rise of the Machines,X,2003,Action,Atari,0.11,0.03,0.0,0.01,0.14,35.0,24.0,2.0,10.0,T,Xbox
SSX On Tour,X,2005,Sports,Electronic Arts,0.11,0.03,0.0,0.01,0.14,81.0,35.0,8.1,10.0,E,Xbox
NCAA College Basketball 2K3,X,2002,Sports,Sega,0.11,0.03,0.0,0.01,0.14,84.0,12.0,8.4,5.0,E,Xbox
Victorious Boxers: Revolution,Wii,2007,Fighting,Ubisoft,0.07,0.0,0.06,0.01,0.14,59.0,26.0,5.4,8.0,T,Nintendo Wii
Farming Simulator 2013,PS3,2013,Simulation,Focus Home Interactive,0.0,0.09,0.02,0.02,0.14,40.0,17.0,2.9,9.0,E,Play Station 3
The Legend of Heroes II: Prophecy of the Moonlight Witch,PSP,2004,Role-Playing,Namco Bandai Games,0.03,0.0,0.11,0.0,0.14,63.0,25.0,6.8,12.0,E10+,Play Station Portable
Hidden Mysteries: Salem Secrets - Witch Trials of 1692,DS,2010,Puzzle,Astragon,0.09,0.04,0.0,0.01,0.14,,,,,,Nintendo DS
Doom,GBA,2001,Shooter,Activision,0.1,0.04,0.0,0.0,0.14,81.0,24.0,8.5,15.0,T,Game Boy Advance
Mary-Kate and Ashley: Winners Circle,PS,2001,Action,Acclaim Entertainment,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
PaRappa The Rapper 2,PS2,2001,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,67.0,26.0,6.6,26.0,E,Play Station 2
Kid Adventures: Sky Captain,Wii,2010,Action,D3Publisher,0.09,0.04,0.0,0.01,0.14,,,,,E,Nintendo Wii
OutRun 2,X,2004,Racing,Sega,0.11,0.03,0.0,0.01,0.14,,,,,,Xbox
Okami,PS3,2012,Action,Capcom,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station 3
Marvel vs. Capcom 2: New Age of Heroes,DC,2000,Fighting,Virgin Interactive,0.0,0.0,0.14,0.0,0.14,,,,,,Sega Dreamcast
Super Dodgeball Brawlers,DS,2008,Sports,Arc System Works,0.13,0.0,0.0,0.01,0.14,65.0,12.0,,,E,Nintendo DS
NFL Head Coach 09,PS3,2008,Sports,Electronic Arts,0.13,0.0,0.0,0.01,0.14,64.0,12.0,7.1,12.0,E,Play Station 3
Hitman: Blood Money,X,2006,Action,Eidos Interactive,0.11,0.03,0.0,0.01,0.14,81.0,27.0,9.1,32.0,M,Xbox
Soukaigi,PS,1998,Role-Playing,SquareSoft,0.0,0.0,0.13,0.01,0.14,,,,,,Play Station
PANGYA: Fantasy Golf,PSP,2009,Sports,Takara Tomy,0.09,0.0,0.04,0.01,0.14,77.0,16.0,7.2,14.0,E10+,Play Station Portable
Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,0.07,0.05,0.01,0.01,0.14,,,5.7,149.0,M,Xbox 360
Xevious 3D/G+,PS,1997,Shooter,Sony Computer Entertainment,0.01,0.01,0.11,0.01,0.14,,,,,,Play Station
Fast Food Panic,DS,2010,Simulation,Nobilis,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
Pipe Mania,PS2,2008,Puzzle,Empire Interactive,0.07,0.05,0.0,0.02,0.14,68.0,4.0,,,E,Play Station 2
Shonen Jumps Shaman King: Master of Spirits,GBA,2004,Role-Playing,Konami Digital Entertainment,0.1,0.04,0.0,0.0,0.14,,,,,,Game Boy Advance
Gretzky NHL 06,PSP,2005,Sports,Sony Computer Entertainment,0.13,0.0,0.0,0.01,0.14,65.0,22.0,6.8,4.0,E10+,Play Station Portable
Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,Capcom,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo 3DS
NFL Blitz 20-03,X,2002,Sports,Midway Games,0.11,0.03,0.0,0.01,0.14,72.0,12.0,7.8,4.0,E,Xbox
Thor: God of Thunder,PS3,2011,Action,Sega,0.07,0.05,0.0,0.02,0.14,39.0,35.0,4.4,19.0,T,Play Station 3
"NewU Fitness First Mind Body, Yoga & Pilates Workout",Wii,2010,Sports,Black Bean Games,0.12,0.01,0.0,0.01,0.14,,,,,,Nintendo Wii
Pirates: The Legend of Black Kat,PS2,2002,Adventure,Electronic Arts,0.07,0.05,0.0,0.02,0.14,72.0,24.0,7.9,8.0,T,Play Station 2
Fur Fighters: Viggos Revenge,PS2,2001,Action,Acclaim Entertainment,0.07,0.05,0.0,0.02,0.14,64.0,15.0,7.3,37.0,T,Play Station 2
Krull,2600,1982,Action,Atari,0.13,0.01,0.0,0.0,0.14,,,,,,Atari 2600
Scarface: The World is Yours,Wii,2007,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14,71.0,23.0,8.4,29.0,M,Nintendo Wii
Yu-Gi-Oh! Monster Capture G,G,2000,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,Game Boy
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.05,0.0,0.08,0.02,0.14,75.0,7.0,8.5,28.0,T,Play Station Vita
Zapper: One Wicked Cricket!,GBA,2002,Platform,Infogrames,0.1,0.04,0.0,0.0,0.14,,,,,,Game Boy Advance
The Da Vinci Code,PS2,2006,Action,Take-Two Interactive,0.07,0.05,0.0,0.02,0.14,54.0,43.0,8.0,24.0,T,Play Station 2
Top Spin 4,Wii,2011,Sports,Take-Two Interactive,0.04,0.08,0.0,0.02,0.14,54.0,8.0,7.4,7.0,E,Nintendo Wii
Scooby-Doo! Night of 100 Frights,X,2003,Platform,THQ,0.11,0.03,0.0,0.01,0.14,,,,,,Xbox
Ford Racing Off Road,PSP,2008,Racing,Xplosiv,0.05,0.08,0.0,0.02,0.14,47.0,6.0,,,E,Play Station Portable
Chicken Shoot,DS,2007,Action,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14,19.0,4.0,2.9,8.0,E10+,Nintendo DS
Dead to Rights,GC,2002,Shooter,Electronic Arts,0.11,0.03,0.0,0.0,0.14,77.0,16.0,8.7,7.0,M,GameCube
Sphinx and the Cursed Mummy,GC,2003,Action,THQ,0.11,0.03,0.0,0.0,0.14,79.0,22.0,8.8,12.0,T,GameCube
Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,60.0,8.9,1412.0,E,PC
MX vs. ATV Reflex,DS,2009,Racing,THQ,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
Cranium Kabookii,Wii,2007,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.14,64.0,9.0,5.4,13.0,E,Nintendo Wii
Cabelas Outdoor Adventures (2009),PS2,2009,Sports,Activision Value,0.07,0.05,0.0,0.02,0.14,,,6.6,5.0,T,Play Station 2
Heros Saga Laevatein Tactics,DS,2008,Role-Playing,GungHo,0.13,0.0,0.0,0.01,0.14,62.0,10.0,,,T,Nintendo DS
Shinobido 2: Tales of the Ninja,PSV,2011,Action,Sony Computer Entertainment,0.05,0.05,0.02,0.02,0.14,,,,,,Play Station Vita
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,PS,1998,Adventure,Sunsoft,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
Naruto RPG 2: Chidori vs Rasengan,DS,2005,Role-Playing,Tomy Corporation,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo DS
Our House Party!,Wii,2009,Simulation,Majesco Entertainment,0.13,0.0,0.0,0.01,0.14,,,,,,Nintendo Wii
Risen 2: Dark Waters,X360,2012,Role-Playing,Deep Silver,0.05,0.08,0.0,0.01,0.14,60.0,18.0,6.0,58.0,M,Xbox 360
Destruction Derby Raw,PS,2000,Racing,Sony Computer Entertainment,0.08,0.05,0.0,0.01,0.14,69.0,9.0,7.3,14.0,E,Play Station
Project V6,PS,1998,Strategy,General Entertainment,0.0,0.0,0.13,0.01,0.14,,,,,,Play Station
World Tour Soccer 2003,PS2,2002,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,78.0,21.0,8.3,7.0,E,Play Station 2
Arctic Tale,DS,2007,Adventure,Zoo Digital Publishing,0.13,0.0,0.0,0.01,0.14,38.0,4.0,,,E,Nintendo DS
Akibas Trip,PSP,2011,Adventure,Acquire,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station Portable
Bravo Air Race,PS,1997,Racing,THQ,0.08,0.05,0.0,0.01,0.14,,,,,,Play Station
ArmA II,PC,2009,Shooter,505 Games,0.0,0.12,0.0,0.02,0.14,77.0,38.0,7.5,589.0,M,PC
Onimusha Essentials,PS2,2008,Action,Capcom,0.07,0.05,0.0,0.02,0.14,,,,,M,Play Station 2
Deadpool,XOne,2015,Action,Activision,0.1,0.03,0.0,0.01,0.14,,,5.7,23.0,M,Xbox One
Gundam: The Battle Master,PS,1997,Fighting,Namco Bandai Games,0.0,0.0,0.13,0.01,0.14,,,,,,Play Station
Spyro: A Heros Tail,X,2004,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.14,64.0,17.0,9.1,10.0,E,Xbox
\xc2\xa1Shin Chan Flipa en colores!,DS,2007,Platform,505 Games,0.0,0.0,0.14,0.0,0.14,,,,,,Nintendo DS
Drawn to Life Collection,DS,2010,Misc,THQ,0.13,0.0,0.0,0.01,0.14,,,,,E,Nintendo DS
Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0.0,0.02,0.14,65.0,11.0,8.4,10.0,T,Play Station 2
The Orange Box,PC,2007,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14,96.0,34.0,9.3,1500.0,M,PC
Metal Slug Anthology,Wii,2006,Shooter,Ignition Entertainment,0.12,0.01,0.0,0.01,0.14,73.0,38.0,8.0,22.0,T,Nintendo Wii
Gretzky NHL 06,PS2,2005,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,62.0,24.0,,,E10+,Play Station 2
Gungrave: Overdose,PS2,2004,Shooter,Play It,0.07,0.05,0.0,0.02,0.14,68.0,50.0,8.7,12.0,M,Play Station 2
Kidou Senshi Gundam: Shin Gihren no Yabou,PSP,2011,Strategy,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,Play Station Portable
Pro Evolution Soccer 2015,X360,2014,Sports,Konami Digital Entertainment,0.05,0.08,0.0,0.01,0.14,,,6.8,29.0,E,Xbox 360
Dream Pinball 3D,Wii,2008,Misc,SouthPeak Games,0.1,0.02,0.0,0.01,0.14,54.0,8.0,7.6,7.0,E10+,Nintendo Wii
The Walking Dead: Season Two,XOne,2014,Adventure,Telltale Games,0.08,0.05,0.0,0.01,0.14,,,,,,Xbox One
